U,I
1.85,0.0084
1.85,0.0084
1.86,0.0085
1.86,0.0085
1.86,0.0085
1.87,0.0085
1.87,0.0085
1.87,0.0085
1.88,0.0085
1.88,0.0085
1.88,0.0085
1.89,0.0086
1.89,0.0086
1.89,0.0086
1.9,0.0086
1.9,0.0086
1.9,0.0086
1.91,0.0087
1.91,0.0087
1.91,0.0087
1.92,0.0087
1.92,0.0087
1.92,0.0087
1.93,0.0088
1.93,0.0088
1.93,0.0088
1.94,0.0088
1.94,0.0088
1.94,0.0088
1.95,0.0089
1.95,0.0089
1.95,0.0089
1.95,0.0089
1.96,0.0089
1.96,0.0089
1.96,0.0089
1.97,0.009
1.97,0.009
1.97,0.009
1.98,0.009
1.98,0.009
1.98,0.009
1.99,0.009
1.99,0.009
1.99,0.009
2.0,0.0091
2.0,0.0091
2.0,0.0091
2.01,0.0091
2.01,0.0091
2.01,0.0091
2.02,0.0092
2.02,0.0092
2.02,0.0092
2.03,0.0092
2.03,0.0092
2.03,0.0092
2.04,0.0093
2.04,0.0093
2.04,0.0093
2.05,0.0093
2.05,0.0093
2.05,0.0093
2.05,0.0093
2.06,0.0094
2.06,0.0094
2.06,0.0094
2.07,0.0094
2.07,0.0094
2.07,0.0094
2.08,0.0095
2.08,0.0095
2.08,0.0095
2.09,0.0095
2.09,0.0095
2.09,0.0095
2.1,0.0095
2.1,0.0095
2.1,0.0095
2.11,0.0096
2.11,0.0096
2.11,0.0096
2.12,0.0096
2.12,0.0096
2.12,0.0096
2.13,0.0097
2.13,0.0097
2.13,0.0097
2.14,0.0097
2.14,0.0097
2.14,0.0097
2.15,0.0098
2.15,0.0098
2.15,0.0098
2.15,0.0098
2.16,0.0098
2.16,0.0098
2.16,0.0098
2.17,0.0099
2.17,0.0099
2.17,0.0099
2.18,0.0099
2.18,0.0099
2.18,0.0099
2.19,0.01
2.19,0.01
2.19,0.01
2.2,0.01
2.2,0.01
2.2,0.01
2.21,0.01
2.21,0.01
2.21,0.01
2.22,0.0101
2.22,0.0101
2.22,0.0101
2.23,0.0101
2.23,0.0101
2.23,0.0101
2.24,0.0102
2.24,0.0102
2.24,0.0102
2.25,0.0102
2.25,0.0102
2.25,0.0102
2.25,0.0102
2.26,0.0103
2.26,0.0103
2.26,0.0103
2.27,0.0103
2.27,0.0103
2.27,0.0103
2.28,0.0104
2.28,0.0104
2.28,0.0104
2.29,0.0104
2.29,0.0104
2.29,0.0104
