U,I,U error,I error
0.148,0.0,0.005621387729022078,0.0
0.15599999999999997,4.5454545454545455e-06,0.002097617696340305,4.312196809320518e-06
0.15300000000000002,0.0,0.004909175083453431,0.0
0.14899999999999997,3.181818181818182e-05,0.007409453421137081,3.018537766524362e-05
0.15699999999999997,9.090909090909091e-06,0.007489993324429601,8.624393618641037e-06
0.16799999999999998,0.0,0.003098386676965932,0.0
0.174,9.090909090909091e-06,0.006511528238439883,5.749595745760689e-06
0.17199999999999996,4.5454545454545455e-06,0.00629285308902091,4.312196809320519e-06
0.17999999999999997,1.8181818181818182e-05,0.006164414002968976,9.534625892455921e-06
0.18299999999999997,0.0,0.001449137674618945,0.0
0.176,4.5454545454545455e-06,0.0049396356140913875,4.312196809320518e-06
0.175,4.5454545454545455e-06,0.006964194138592058,4.312196809320518e-06
0.181,4.5454545454545455e-06,0.006848357467305573,4.312196809320519e-06
0.19499999999999998,4.5454545454545455e-06,0.006204836822995428,4.312196809320518e-06
0.175,5.4545454545454546e-05,0.009823441352194252,3.846217418419305e-05
0.16999999999999998,4.545454545454546e-05,0.011916375287812983,2.5712973861329002e-05
0.19199999999999998,9.090909090909091e-06,0.0041952353926806045,5.749595745760689e-06
0.19299999999999998,1.3636363636363637e-05,0.006789698078707179,9.203843968780268e-06
0.209,1.8181818181818182e-05,0.004110960958218893,1.724878723728207e-05
0.19599999999999998,4.545454545454545e-05,0.011506519890914021,3.856946079199349e-05
0.221,1.3636363636363637e-05,0.004110960958218893,6.586989430086108e-06
0.21000000000000002,2.7272727272727273e-05,0.0061644140029689775,1.1499191491521378e-05
0.22500000000000003,4.5454545454545455e-06,0.001581138830084191,4.312196809320519e-06
0.217,9.090909090909091e-06,0.006172519744804384,8.624393618641036e-06
0.23099999999999996,9.090909090909091e-06,0.002213594362117864,8.624393618641036e-06
0.233,1.8181818181818182e-05,0.0031780497164141373,1.1499191491521378e-05
0.231,0.0,0.004110960958218891,0.0
0.233,4.5454545454545455e-06,0.007078135347674556,4.312196809320519e-06
0.229,4.5454545454545455e-06,0.007134423592694786,4.312196809320519e-06
0.238,1.8181818181818182e-05,0.007042726744663603,1.3173978860172218e-05
0.24,3.181818181818182e-05,0.005999999999999999,2.575311904402781e-05
0.248,9.090909090909091e-06,0.0034058772731852802,5.749595745760689e-06
0.24100000000000002,2.7272727272727273e-05,0.00793095202355934,2.58731808559231e-05
0.25199999999999995,2.7272727272727273e-05,0.004647580015448902,1.724878723728207e-05
0.24500000000000002,3.6363636363636364e-05,0.009513148795220227,3.449757447456414e-05
0.257,9.090909090909091e-06,0.003478505426185218,5.749595745760689e-06
0.269,9.090909090909091e-06,0.0033015148038438385,5.749595745760689e-06
0.27,4.5454545454545455e-06,0.0028284271247461922,4.312196809320518e-06
0.28500000000000003,4.5454545454545455e-06,0.006041522986797284,4.312196809320519e-06
0.275,1.3636363636363637e-05,0.008031189202104506,9.203843968780268e-06
0.275,1.8181818181818182e-05,0.004743416490252568,1.1499191491521378e-05
0.275,3.6363636363636364e-05,0.008746427842267947,3.0013770944034874e-05
0.28300000000000003,0.0,0.0031780497164141364,0.0
0.28800000000000003,9.090909090909091e-06,0.0030983866769659324,8.624393618641036e-06
0.2899999999999999,9.090909090909091e-06,0.004690415759823429,5.749595745760689e-06
0.285,3.181818181818182e-05,0.008031189202104506,3.018537766524362e-05
0.30599999999999994,4.5454545454545455e-06,0.00404969134626332,4.312196809320518e-06
